CIK,start_date,start_price,six_month_price,three_year_price,return_6m,return_3y,random_predict,lgbm_predict,nn_predict,random_desired_invest,random_actual_invest,random_profit_this_ipo,random_cumulative_profit,random_capital_after_ipo,lgbm_desired_invest,lgbm_actual_invest,lgbm_profit_this_ipo,lgbm_cumulative_profit,lgbm_capital_after_ipo,nn_desired_invest,nn_actual_invest,nn_profit_this_ipo,nn_cumulative_profit,nn_capital_after_ipo,lgbm_prob_6m,lgbm_prob_3y,nn_prob_6m,nn_prob_3y,true_6m,true_3y
1750593,2019-11-01,2925.0000,2520.0000,25.2000,-0.1385,-0.9914,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4322.6443,104322.6443,0.0000,0.0000,0.0000,26449.4291,126449.4291,0.0000,0.0000,0.0000,23581.2433,123581.2433,0.0528,0.0135,0.4953,0.4488,0,0
1622229,2018-03-29,44.4400,49.3200,8.9100,0.1098,-0.7995,6M:0 3Y:0,6M:1 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4322.6443,104322.6443,100.0000,100.0000,10.9811,26460.4102,126460.4102,100.0000,100.0000,10.9811,23592.2244,123592.2244,0.5024,0.0884,0.5175,0.3015,0,0
2015947,2024-08-15,11.5000,10.1400,10.2700,-0.1183,-0.1070,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-11.8261,4310.8182,104310.8182,0.0000,0.0000,0.0000,26460.4102,126460.4102,0.0000,0.0000,0.0000,23592.2244,123592.2244,0.0359,0.0028,0.4785,0.4155,0,0
1725160,2020-04-03,23.2000,32.6900,17.9100,0.4091,-0.2280,6M:1 3Y:0,6M:1 3Y:1,6M:1 3Y:1,100.0000,100.0000,40.9052,4351.7234,104351.7234,200.0000,200.0000,18.1034,26478.5137,126478.5137,200.0000,200.0000,18.1034,23610.3279,123610.3279,0.9480,0.9653,0.5242,0.6288,1,1
1520006,2012-02-02,11.2700,10.0400,20.6800,-0.1091,0.8350,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:1,0.0000,0.0000,0.0000,4351.7234,104351.7234,0.0000,0.0000,0.0000,26478.5137,126478.5137,200.0000,200.0000,72.5821,23682.9099,123682.9099,0.0503,0.4367,0.5048,0.6665,0,0
1719406,2017-12-01,0.3500,0.4000,0.3500,0.1429,0.0000,6M:0 3Y:0,6M:1 3Y:1,6M:1 3Y:0,0.0000,0.0000,0.0000,4351.7234,104351.7234,200.0000,200.0000,14.2857,26492.7994,126492.7994,100.0000,100.0000,14.2857,23697.1956,123697.1956,0.8135,0.9017,0.5242,0.4006,1,0
1701732,2017-11-01,18.3100,28.9800,43.0300,0.5827,1.3501,6M:0 3Y:0,6M:1 3Y:1,6M:1 3Y:1,0.0000,0.0000,0.0000,4351.7234,104351.7234,200.0000,200.0000,193.2824,26686.0817,126686.0817,200.0000,200.0000,193.2824,23890.4780,123890.4780,0.9226,0.9589,0.5262,0.7650,1,1
1829615,2021-02-24,10.5200,9.8400,10.0600,-0.0646,-0.0437,6M:0 3Y:1,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-4.3726,4347.3508,104347.3508,0.0000,0.0000,0.0000,26686.0817,126686.0817,0.0000,0.0000,0.0000,23890.4780,123890.4780,0.0004,0.0007,0.4778,0.1903,0,0
1075415,2012-07-23,10.0400,10.7400,11.7600,0.0697,0.1713,6M:0 3Y:0,6M:1 3Y:0,6M:1 3Y:1,0.0000,0.0000,0.0000,4347.3508,104347.3508,100.0000,100.0000,6.9721,26693.0538,126693.0538,200.0000,200.0000,24.1036,23914.5816,123914.5816,0.5232,0.2331,0.5483,0.5011,1,0
1415311,2011-01-04,318.4800,235.8400,77.9600,-0.2595,-0.7552,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4347.3508,104347.3508,0.0000,0.0000,0.0000,26693.0538,126693.0538,100.0000,100.0000,-25.9483,23888.6333,123888.6333,0.1344,0.0448,0.5064,0.4887,0,0
1401914,2014-04-10,822.0000,519.6000,82.8100,-0.3679,-0.8993,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4347.3508,104347.3508,0.0000,0.0000,0.0000,26693.0538,126693.0538,100.0000,100.0000,-36.7883,23851.8450,123851.8450,0.0779,0.0295,0.5164,0.3879,0,0
714310,2015-06-17,13.6600,14.6500,17.4500,0.0725,0.2775,6M:0 3Y:1,6M:1 3Y:0,6M:1 3Y:0,100.0000,100.0000,27.7452,4375.0960,104375.0960,100.0000,100.0000,7.2474,26700.3013,126700.3013,100.0000,100.0000,7.2474,23859.0924,123859.0924,0.8813,0.0373,0.5658,0.3359,1,0
